"Date","Open","High","Low","Close","Change","Change%","Volume('000 shares)"
"2021/04/29","22.6","22.8","20.85","21.2","-1","-4.50","306769.243"
"2021/04/28","21.15","22.7","21.1","22.2","1.5","7.25","365822.73"
"2021/04/27","20.2","20.9","20.15","20.7","0.5999999999999979","2.99","206698.825"
"2021/04/26","19.5","20.35","19.1","20.1","-0.29999999999999716","-1.47","335496.273"
"2021/04/23","21.6","21.75","20","20.4","-0.20000000000000284","-0.97","348070.593"
"2021/04/22","21","22.6","20","20.6","0.05000000000000071","0.24","537373.496"
"2021/04/21","19.6","20.7","19.35","20.55","1.1500000000000021","5.93","358588.102"
"2021/04/20","19.5","19.6","18.75","19.4","-0.15000000000000213","-0.77","250835.983"
"2021/04/19","18.35","19.8","18.3","19.55","1.25","6.83","347467.226"
"2021/04/16","17.8","18.3","17.6","18.3","0.6500000000000021","3.68","190843.69"
"2021/04/15","17.45","18.05","17.3","17.65","0.1999999999999993","1.15","215065.49"
"2021/04/14","17.8","18.35","16.65","17.45","0.05000000000000071","0.29","416304.201"
"2021/04/13","17.15","18.7","16.75","17.4","0.29999999999999716","1.75","493638.762"
"2021/04/12","16.4","17.15","16.1","17.1","0.9000000000000021","5.56","226436.998"
"2021/04/09","16.5","17","16","16.2","-0.05000000000000071","-0.31","340561.22"
"2021/04/08","15.45","16.3","15.4","16.25","0.9499999999999993","6.21","284792.489"
"2021/04/07","15.25","15.45","15.15","15.3","0.15000000000000036","0.99","110138.827"
"2021/04/06","15.45","15.5","15.1","15.15","-0.09999999999999964","-0.66","75356.824"
"2021/04/01","15.3","15.35","14.85","15.25","0","0.00","116490.275"